instance,drone_num,Objective Value,optimal_obj,Total Service Volume,Total Runtime,Drone Coverage Rate,mean_sortie_time,sortie_count
c101,2,3.076576577,3.076576577,340,110.5,0.901666667,90.16666667,7
c101,3,2.507456905,2.940491991,334,139,0.670369877,67.03698772,14.2
c101,4,2.551833924,2.922041148,348,146.4,0.69606746,69.60674603,16.4
c101,5,2.746198133,3.071408796,354,135.6,0.6363066,63.63066003,19.6
r101,2,1.401971747,1.77570922,325,234.5,0.620491071,62.04910714,15
r101,3,1.18534364,1.546581744,348.2,294,0.662398384,66.23983838,21.8
r101,4,1.406150175,1.895301404,357.8,258.8,0.694674854,69.46748538,19.4
r101,5,1.538671552,1.891483598,356.2,236.6,0.695900611,69.59006109,25.8
rc101,2,1.735898956,1.972617546,360,211.5,0.5475,54.75,3
rc101,3,1.745462796,2.074534149,360,211,0.746745938,74.67459384,13.6
rc101,4,1.712096932,2.084373952,358,215.6,0.694592246,69.4592246,17.2
rc101,5,1.560484764,2.118931621,350,224.6,0.741889013,74.18890128,22.4
c201,2,1.8557,,,,,,
c201,3,2.3944,,,,,,
c201,4,1.7822,,,,,,
c201,5,2.5,,,,,,
